Source,Target
JakeP,jbarlekamp
JakeP,POTUS44
JakeP,POTUS
JakeP,LosFelizDaycare
JakeP,TerbilDraems
JakeP,rubbishdrawings
JakeP,NeutralGroundCo
JakeP,ScoutAlarm
JakeP,message
JakeP,blankonblank
JakeP,USDS
JakeP,SFBARTalert
JakeP,GoogleDesign
JakeP,wildernessmaaan
kimisperros,arankhanna
kimisperros,paperpile
kimisperros,lxbrun
kimisperros,facebook
kimisperros,loconte
kimisperros,FBaldimtsi
kimisperros,hseas
kimisperros,OdedGreen
kimisperros,AmirSariri
kimisperros,nberpubs
kimisperros,hellojas
kimisperros,GoogleBrain
kimisperros,jasonyo
kimisperros,andrewgwils
kimisperros,adamgdunn
kimisperros,erichorvitz
kimisperros,nih_nhlbi
kimisperros,mmitchell_ai
kimisperros,volkuleshov
kimisperros,argonne
Prof_DavidBader,cheryldseals
Prof_DavidBader,BonkersTech
Prof_DavidBader,markcjeffrey
Prof_DavidBader,ali_msdb
Prof_DavidBader,JaeyongAn
Prof_DavidBader,edergoncalves
Prof_DavidBader,itsPikakshi
Prof_DavidBader,drbobrinkman
Prof_DavidBader,cdaylward
Prof_DavidBader,david_maimon
Prof_DavidBader,ProjjwalDhar
Prof_DavidBader,tilaprimera
Prof_DavidBader,JonasHaberkorn
Prof_DavidBader,wgrantsmith
Prof_DavidBader,VincentBrissot
Prof_DavidBader,pooyadav
Prof_DavidBader,danfdeblasio
Prof_DavidBader,PurdueCSPhil
Prof_DavidBader,__akio__
Prof_DavidBader,k4rtik
jonfroehlich,jemelehill
jonfroehlich,JohnAlexander
jonfroehlich,rameses888
jonfroehlich,rajakushalnagar
jonfroehlich,jesshami
jonfroehlich,ProactiveSleep
jonfroehlich,HandicapThis
jonfroehlich,PoloChau
jonfroehlich,AbeDavis
jonfroehlich,graydesign
jonfroehlich,DavidNemer
jonfroehlich,yasssjasss
jonfroehlich,vj_chidambaram
jonfroehlich,thompsonpat
jonfroehlich,User1st
jonfroehlich,bendevane
jonfroehlich,AMAC_tweet
jonfroehlich,MikeySaugstad
jonfroehlich,ahaAtARO
jonfroehlich,saiphcita
ibogost,SilverbergDave
ibogost,jenn_rossmann
ibogost,nora_kelly
ibogost,priscialva
ibogost,Tanvim
ibogost,davidzweig
ibogost,lindsaygellman
ibogost,slaskow
ibogost,lauraelizdavis
ibogost,UrbanLandInst
ibogost,kaitlinofficial
ibogost,coralsncaves
ibogost,dezeen
ibogost,iconeye
ibogost,Gastropodcast
ibogost,blueprintmag
ibogost,nicolatwilley
ibogost,tucker_ft
ibogost,tsmullaney
ibogost,markrobsf
khusape,audiogyan
khusape,sbyrnes
khusape,kumrr
khusape,harrybr
khusape,glennsolomon
khusape,caldbeckj
khusape,meseali
khusape,pranjal_1981
khusape,vijaya
khusape,kcoleman
khusape,ArlanWasHere
khusape,sidpandey
khusape,djtokyo
khusape,rohitjain
khusape,mukuls97
khusape,NavinChaddha
khusape,hitobs
khusape,dkhare
khusape,leotor
khusape,anand_raj
TheNextCorner,CBSSF
TheNextCorner,kron4news
TheNextCorner,KTVU
TheNextCorner,abc7newsbayarea
TheNextCorner,nbcbayarea
TheNextCorner,mercnews
TheNextCorner,WazeTrafficSF
TheNextCorner,JonathanWilbur
TheNextCorner,ChristiJOlson
TheNextCorner,ChristiJBOlson
TheNextCorner,NWSBayArea
TheNextCorner,MoneyLynch
TheNextCorner,HSBC
TheNextCorner,TheJudge44
TheNextCorner,farmshelf
TheNextCorner,elguapo
TheNextCorner,thecounter
TheNextCorner,jaychoag
TheNextCorner,woodymarshall
TheNextCorner,TCVTech
zkancs,AuthorityLabs
zkancs,girlie_mac
zkancs,b0rk
zkancs,LauraBehrensWu
zkancs,BlackGirlsCode
zkancs,sheplusplus
zkancs,portainerio
zkancs,KnowYourCompany
zkancs,cjlew23
zkancs,sxywu
zkancs,alignedleft
zkancs,tdda0
zkancs,NodeSource
zkancs,zzbennett
zkancs,stitchfix_algo
zkancs,reworkpodcast
zkancs,janexwang
zkancs,rsalakhu
zkancs,nalkalchbrenner
zkancs,OriolVinyalsML
ddol,JamesTamplin
ddol,VelodyneLidar
ddol,CorrectNames
ddol,Kernasovskiy
ddol,aristeinberg
ddol,fivetentaylor
ddol,thereaIbanksy
ddol,kimmaicutler
ddol,atlasobscura
ddol,migueldeicaza
ddol,fredwilson
ddol,davemcclure
ddol,arstechnica
ddol,Voxitay
ddol,ConanOBrien
ddol,NASA
ddol,StephenAtHome
ddol,bballinger
ddol,CaseyNeistat
ddol,rebrosepdx
CptPositive,aclear
CptPositive,scottOfTheSci
CptPositive,shaunkane
CptPositive,jure
CptPositive,EatClubOrg
CptPositive,MenInBlazers
CptPositive,jofish
CptPositive,ayman
CptPositive,informor
CptPositive,lanayarosh
CptPositive,jwiese
CptPositive,NGorm
CptPositive,gillianrhayes
CptPositive,aninddey
CptPositive,marlowja
CptPositive,AndyRichter
CptPositive,ACMUIST
CptPositive,bigdata4people
CptPositive,WillJosephCook
CptPositive,manwhohasitall
GTRI,tweeplers
GTRI,VAVetBenefits
GTRI,DeptVetAffairs
GTRI,stampshealth
GTRI,FerstCenter
GTRI,CarolineGWood
GTRI,SSEFGeorgia
GTRI,BuildingIoT
GTRI,NetOfEverything
GTRI,iotconsortium
GTRI,TheIoT
GTRI,carolrclark
GTRI,ConversationEDU
GTRI,Alltop
GTRI,FromTheLabBench
GTRI,BuzzHootRoar
GTRI,ConversationUS
GTRI,duvall_jd2
GTRI,C4ISRNET
GTRI,PhysicsCentral
kedwards,NotAltWorld
kedwards,BarackObama
kedwards,HalfOnionInABag
kedwards,cursedimages
kedwards,internetofshit
kedwards,clmazin
kedwards,Snowden
kedwards,Oatmeal
kedwards,hcdeUW
kedwards,AwardsDarwin
kedwards,colin2sheds
kedwards,blairmacintyre
kedwards,GeorgiaTech
kedwards,ryangravel
kedwards,professorBodker
kedwards,beltlinepiper
kedwards,andrewmiller
kedwards,verbicidal
kedwards,asbruckman
kedwards,GavinNewsom
goodfellow_ian,RoyaMahboob
goodfellow_ian,vmcheung
goodfellow_ian,elianalorch
goodfellow_ian,johncoogan
goodfellow_ian,neilhimself
goodfellow_ian,indicoData
goodfellow_ian,geoffreyirving
goodfellow_ian,gstsdn
goodfellow_ian,cjmaddison
goodfellow_ian,machinaut
goodfellow_ian,yeewhye
goodfellow_ian,robertskmiles
goodfellow_ian,rivatez
goodfellow_ian,gyomalin_ML
goodfellow_ian,VitalikButerin
goodfellow_ian,TheGradient
goodfellow_ian,lschmidt3
goodfellow_ian,aleks_madry
goodfellow_ian,SwiftOnSecurity
goodfellow_ian,internetofshit
dennybritz,fabinger
dennybritz,keunwoochoi
dennybritz,MehdiShibahara
dennybritz,shimon8282
dennybritz,quantombone
dennybritz,VahidK
dennybritz,yablak
dennybritz,HirokoTabuchi
dennybritz,cinjoncin
dennybritz,LauraDeming
dennybritz,Samuel_DavidA
dennybritz,TheRealBenBall
dennybritz,lukede0
dennybritz,animesh_garg
dennybritz,mpd37
dennybritz,KaiLashArul
dennybritz,sbmckeon
dennybritz,lishali88
dennybritz,Img_Prasanna
dennybritz,FeryalMP
MattandMattPod,SamForDaWin
fatla1995,SamForDaWin
KatieNolan33,SamForDaWin
AaronSolender86,SamForDaWin
StephanieFarri9,SamForDaWin
maddielee419,SamForDaWin
YaBoiHudson,SamForDaWin
WePlayLean,SamForDaWin
mwysocki93,SamForDaWin
mikeyeps,SamForDaWin
rishippatel3,SamForDaWin
ShitEprightSays,SamForDaWin
tedge99,SamForDaWin
_CJx32_,SamForDaWin
TFL2015,SamForDaWin
spookysadness,SamForDaWin
AnayNawathe,SamForDaWin
mattzerkus,SamForDaWin
qcampbell3,SamForDaWin
deanwithey,severinhacker
l__sahar,severinhacker
El_Luigi_V,severinhacker
Sandeepcristi,severinhacker
bbonesmo,severinhacker
arnaldohcastro,severinhacker
theceolibrary,severinhacker
LudoLatin,severinhacker
BarAlc58,severinhacker
TheG_Type,severinhacker
ArchAngelLPV,severinhacker
burculantonija,severinhacker
AdityaA19118052,severinhacker
RaffMisceo,severinhacker
MikeCaps,severinhacker
AwesomePittsbgh,severinhacker
hackernewsbot_,severinhacker
AlexKlarfeld,severinhacker
LLevasseur75,severinhacker
erichorvitz,severinhacker
melchiondo,albertocairo
navigator80,albertocairo
lozanopuche,albertocairo
alanferrandiz,albertocairo
kevinborden,albertocairo
JohnDOrtiz,albertocairo
SallyWGrotta,albertocairo
mohamedsaad30,albertocairo
nicolacois,albertocairo
flightdesignco,albertocairo
MrMarkForsyth,albertocairo
Mardyb_,albertocairo
evreninmuhtari,albertocairo
murongxiaodu,albertocairo
SaraPorco,albertocairo
Toldev,albertocairo
eliskavalterova,albertocairo
Seafare54,albertocairo
askqueen,albertocairo
CHAKADO12,albertocairo
AmbassadorCOO,FisherDanyel
flekschas,FisherDanyel
ken_hinckley,FisherDanyel
hmlizama,FisherDanyel
CatchKD7,FisherDanyel
jawalnut,FisherDanyel
yanlofe,FisherDanyel
philogb,FisherDanyel
SeattleHarvest,FisherDanyel
nickyzhi123,FisherDanyel
univienna_vda,FisherDanyel
minsukkahng,FisherDanyel
JennyRLyons,FisherDanyel
amitkaps,FisherDanyel
namwkim85,FisherDanyel
pciuccarelli,FisherDanyel
Metti_Hoof,FisherDanyel
nikiubel,FisherDanyel
markvsql,FisherDanyel
ShivaniAurora,LMNault
darksunshinedee,LMNault
ericsimons,LMNault
James044Brian,LMNault
ubikretail,LMNault
UXsnack,LMNault
venture12,LMNault
goshospain,LMNault
missiongirl4,LMNault
shodoshan,LMNault
LisaDOhio,LMNault
NoeticSeries,LMNault
LoveNVRDiesBook,LMNault
ipevzner,LMNault
nelsonmarteleir,LMNault
martinlong82,LMNault
mrpderbs,LMNault
banerjee_mamata,LMNault
cindycated,LMNault
andysz,adarrow
kplusr2,adarrow
UXsnack,adarrow
Antonioflpalenc,adarrow
kenudigit,adarrow
delcarpio321,adarrow
rideamigos,adarrow
neela_bell,adarrow
bethgalambos,adarrow
BrittneyBush,adarrow
wrdarrow,adarrow
ModusInstitute,adarrow
zaidhisham,adarrow
peacokle,adarrow
banerjee_mamata,adarrow
Nonnormalizable,adarrow
LaurentJanolin,adarrow
BurlinBritta,adarrow
Phooj,adarrow
coachdotme,JakeP
ElenaWerdath,JakeP
hazeshanshan,JakeP
Africa_VC,JakeP
lottisbp,JakeP
SouthCountyIzik,JakeP
baymonsters,JakeP
cruzisabela995,JakeP
figipyzimapu,JakeP
jbarlekamp,JakeP
PeeringPressure,JakeP
ngoclongnguyen3,JakeP
MountainLionP22,JakeP
RayBeau,JakeP
banerjee_mamata,JakeP
CrowdTMeeting,JakeP
adb19a44f36c456,JakeP
hungviet2004,JakeP
TripScanner_Inc,JakeP
WoolAllure,kimisperros
adamgdunn,kimisperros
nuclearkatie,kimisperros
BeadedJewlery,kimisperros
PromoStoreOne,kimisperros
OscarJetson,kimisperros
SyidMassiah,kimisperros
WoodFlipbook,kimisperros
sethmessenger32,kimisperros
appliedmldays,kimisperros
minsukkahng,kimisperros
KaterinaElRaheb,kimisperros
Prof_DavidBader,kimisperros
danlizotte,kimisperros
ilknurkabul,kimisperros
junayedjion9,kimisperros
ryanallred,kimisperros
Tobias_Grosser,kimisperros
data_hpz,kimisperros
jrkenne1,Prof_DavidBader
rijitK,Prof_DavidBader
Astro_Locke,Prof_DavidBader
Warren71073004,Prof_DavidBader
iuinfograd,Prof_DavidBader
IowaBusiness,Prof_DavidBader
balag0302,Prof_DavidBader
wgrantsmith,Prof_DavidBader
YasSilva1,Prof_DavidBader
j_winterton,Prof_DavidBader
BABYDIABLODIOS2,Prof_DavidBader
cmdoerfler,Prof_DavidBader
MarissaInMadrid,Prof_DavidBader
namratab94,Prof_DavidBader
milliman,Prof_DavidBader
areuther1,Prof_DavidBader
Notmadscientist,Prof_DavidBader
Kingatlanta4,Prof_DavidBader
26bjones,Prof_DavidBader
Gametech0101,Prof_DavidBader
CarlSetzer,jonfroehlich
OpenSourceLab20,jonfroehlich
heorv,jonfroehlich
tentacleseal,jonfroehlich
JohnAlexander,jonfroehlich
markjamatthews,jonfroehlich
Gridbee,jonfroehlich
convoluted_code,jonfroehlich
datuixx,jonfroehlich
aneja_ap,jonfroehlich
rameses888,jonfroehlich
rajakushalnagar,jonfroehlich
skateprofessor,jonfroehlich
RollingWOLimits,jonfroehlich
developerach,jonfroehlich
bookofinnov,jonfroehlich
jwkritchie,jonfroehlich
We_are_upstart,jonfroehlich
britgerontology,jonfroehlich
jeffmatarrese,jonfroehlich
ludomyth,ibogost
CheridyAduviri,ibogost
ericrbedell,ibogost
AdrianeKaylor,ibogost
ichaydon,ibogost
ElizaGibson,ibogost
m3untold,ibogost
docho7,ibogost
Kurt91802902,ibogost
joao_jordao,ibogost
csvenza,ibogost
kirkopher,ibogost
owenribbit,ibogost
DogCrumbDDS,ibogost
LidoBluslim3,ibogost
iohananiosef,ibogost
revfutures,ibogost
jenn_rossmann,ibogost
PositivityPack,ibogost
laurmcmull,ibogost
oNuRSaHiN2808,khusape
HarvinderKour7,khusape
urbaneparent,khusape
Gopal000786,khusape
ManojSharma215,khusape
cefacoc,khusape
UXPAPER,khusape
RamiroMFernand1,khusape
Will_Alvarez,khusape
tatiana170295,khusape
Remi_Vladuceanu,khusape
CAKISANPANDYA,khusape
ProPop2,khusape
ahmedalwailly43,khusape
mustafaaidl,khusape
noveliciouss,khusape
FeelThree,khusape
Yhamegroup,khusape
arvindax,khusape
drjoyce_knudsen,khusape
KONSTANTLAW,TheNextCorner
USA_FANS_CLUBS,TheNextCorner
marcusflemming,TheNextCorner
skylarcwrites,TheNextCorner
cheval_yo,TheNextCorner
tonystubblebine,TheNextCorner
bself4bworld,TheNextCorner
neilhuggan,TheNextCorner
MeusMediaGroup,TheNextCorner
rocklondon1,TheNextCorner
talentdynamics,TheNextCorner
KevinB_Murphy,TheNextCorner
TommySWang,TheNextCorner
jenjacksonme,TheNextCorner
mypassiontest,TheNextCorner
eiupdates,TheNextCorner
RepBright,TheNextCorner
AmbraHensley,TheNextCorner
Sandybillionboy,TheNextCorner
mdraselkhantaj,TheNextCorner
cammipham,zkancs
DD_NaNa_,zkancs
SullivaChelsea,zkancs
danieljpeter,zkancs
daycamp4devs,zkancs
ansarisaad,zkancs
oneplus1000,zkancs
rvrkj,zkancs
notsu,zkancs
Mohamed3_AboTal,zkancs
DigidustGrowth,zkancs
dwhsieh,zkancs
TechNativeWire,zkancs
orbittest2,zkancs
EmekaData,zkancs
TAanderud,zkancs
JohnKNLL,zkancs
nicolemannann,zkancs
PostManWaz,zkancs
RoboticsAI2018,zkancs
graver_ua,ddol
desydolan,ddol
madbunny_911,ddol
AAthifas97,ddol
OBehaveYourself,ddol
coreyfro,ddol
NikhilS50,ddol
jonobacon,ddol
JessRTs_a_lot,ddol
Moviebnb,ddol
mostblue1,ddol
georgbauser,ddol
pmaceoin,ddol
gocountly,ddol
GoodAILab,ddol
bananamagick,ddol
acelr8,ddol
HostedGraphite,ddol
Voxitay,ddol
FXPALResearch,CptPositive
jofish,CptPositive
t0zecorreia,CptPositive
msbernst,CptPositive
scottOfTheSci,CptPositive
ACMIUI,CptPositive
suefussell,CptPositive
IntercultComm,CptPositive
bigdata4people,CptPositive
kkarahal,CptPositive
khai_truong,CptPositive
hciprof,CptPositive
plopesresearch,CptPositive
nediyana,CptPositive
carlagriggio,CptPositive
cosleydr,CptPositive
jeffbigham,CptPositive
mattllee,CptPositive
ideasandinfo,CptPositive
GregYounts,GTRI
rohitvarkey,GTRI
SoufianeEF,GTRI
AubreyDInc,GTRI
TheHRH,GTRI
patrickocr,GTRI
Omnes_VC,GTRI
EU_ScienceHub,GTRI
GTSolarRacing,GTRI
jimchatfieldjr,GTRI
SynesthCorp,GTRI
advoloastra,GTRI
GaTechWIE,GTRI
cclark_georgia1,GTRI
naz_andalibi,GTRI
ecr_,GTRI
Annakat23878050,GTRI
GAsGreatest,GTRI
keshav_sanjeevi,GTRI
dsatterfie,GTRI
GT_AnnieAnton,kedwards
naz_andalibi,kedwards
bigdata4people,kedwards
MatthewGombolay,kedwards
ICatGT,kedwards
vivianmotti,kedwards
LexusVitamin,kedwards
Shneydave,kedwards
profmikefraser,kedwards
sociallycompute,kedwards
MarinaChong,kedwards
myriadbird,kedwards
thesaadismail,kedwards
Chris_Storm71,kedwards
jr_thomp,kedwards
hide_yourself,kedwards
acmDIS,kedwards
MiJaGourlay,kedwards
Alex_Drunkan,kedwards
_Ducke,goodfellow_ian
toppare,goodfellow_ian
Carvalho96v2,goodfellow_ian
jhuang33,goodfellow_ian
Prajnya124,goodfellow_ian
roeyvil,goodfellow_ian
dragon9990136,goodfellow_ian
kum86399202,goodfellow_ian
SimonFlyvbjerg,goodfellow_ian
makbulegulcin,goodfellow_ian
FTWilliams89,goodfellow_ian
austinhill,goodfellow_ian
c_shinjini,goodfellow_ian
sbharti,goodfellow_ian
skgone3,goodfellow_ian
AbhayKoushik,goodfellow_ian
math_dandy,goodfellow_ian
_Allen_Lin_,goodfellow_ian
abhijittallu,goodfellow_ian
Sotiris_No,goodfellow_ian
Carvalho96v2,dennybritz
VijayRowtula,dennybritz
roeyvil,dennybritz
ochyai,dennybritz
TheSharpSharp,dennybritz
FTWilliams89,dennybritz
akshaybabbar12,dennybritz
AmShafik,dennybritz
Lucine86229563,dennybritz
a_blackhorse,dennybritz
blxalpha,dennybritz
xianlongchen,dennybritz
__21JumpStreet,dennybritz
m_bellahcen,dennybritz
pbrane,dennybritz
jinyixin621,dennybritz
otaviogood,dennybritz
SColesPorter,dennybritz
topeflakes,dennybritz
GibranErlangga,dennybritz
